,Date,death_cases
387,2021-05-12,8
388,2021-05-13,5
389,2021-05-14,4
390,2021-05-15,4
391,2021-05-16,7
392,2021-05-17,12
393,2021-05-18,13
394,2021-05-19,16
395,2021-05-20,4
396,2021-05-21,7
397,2021-05-22,10
398,2021-05-23,3
399,2021-05-24,17
400,2021-05-25,12
401,2021-05-26,5
402,2021-05-27,10
403,2021-05-28,8
404,2021-05-29,12
405,2021-05-30,7
406,2021-05-31,20
407,2021-06-01,2
408,2021-06-02,10
409,2021-06-03,9
410,2021-06-04,9
411,2021-06-05,10
412,2021-06-06,21
413,2021-06-07,14
414,2021-06-08,16
415,2021-06-09,27
416,2021-06-10,18
417,2021-06-11,12
418,2021-06-12,13
419,2021-06-13,17
420,2021-06-14,14
421,2021-06-15,8
422,2021-06-16,26
423,2021-06-17,18
424,2021-06-18,19
425,2021-06-19,9
426,2021-06-20,12
427,2021-06-21,23
428,2021-06-22,7
429,2021-06-23,19
430,2021-06-24,9
431,2021-06-25,9
432,2021-06-26,9
433,2021-06-27,4
434,2021-06-28,12
435,2021-06-29,8
436,2021-06-30,11
437,2021-07-01,13
438,2021-07-02,3
439,2021-07-03,2
440,2021-07-04,4
441,2021-07-05,4
442,2021-07-06,16
443,2021-07-07,12
444,2021-07-08,15
445,2021-07-09,6
446,2021-07-10,5
447,2021-07-11,2
448,2021-07-12,11
449,2021-07-13,14
450,2021-07-14,20
451,2021-07-15,9
452,2021-07-16,15
453,2021-07-17,8
454,2021-07-18,7
455,2021-07-19,21
456,2021-07-20,8
457,2021-07-21,25
458,2021-07-22,17
459,2021-07-23,20
460,2021-07-24,11
461,2021-07-25,14
462,2021-07-26,16
463,2021-07-27,10
464,2021-07-28,15
465,2021-07-29,16
466,2021-07-30,24
467,2021-07-31,3
468,2021-08-01,5
469,2021-08-02,23
470,2021-08-03,12
471,2021-08-04,25
472,2021-08-05,18
473,2021-08-06,23
474,2021-08-07,13
475,2021-08-08,16
476,2021-08-09,24
477,2021-08-10,23
478,2021-08-11,19
479,2021-08-12,19
480,2021-08-13,26
481,2021-08-14,13
482,2021-08-15,14
483,2021-08-16,34
484,2021-08-17,9
485,2021-08-18,18
486,2021-08-19,23
487,2021-08-20,17
488,2021-08-21,10
489,2021-08-22,12
490,2021-08-23,16
491,2021-08-24,14
492,2021-08-25,11
493,2021-08-26,11
494,2021-08-27,12
495,2021-08-28,10
496,2021-08-29,13
497,2021-08-30,16
498,2021-08-31,19
499,2021-09-01,17
500,2021-09-02,7
501,2021-09-03,13
502,2021-09-04,8
503,2021-09-05,4
504,2021-09-06,17
505,2021-09-07,9
506,2021-09-08,18
507,2021-09-09,10
508,2021-09-10,19
509,2021-09-11,5
510,2021-09-12,3
511,2021-09-13,14
512,2021-09-14,7
513,2021-09-15,11
514,2021-09-16,6
515,2021-09-17,9
516,2021-09-18,8
517,2021-09-19,1
518,2021-09-20,5
519,2021-09-21,15
520,2021-09-22,9
521,2021-09-23,5
522,2021-09-24,7
523,2021-09-25,4
524,2021-09-26,4
525,2021-09-27,4
526,2021-09-28,8
527,2021-09-29,8
528,2021-09-30,3
529,2021-10-01,5
530,2021-10-02,1
531,2021-10-03,4
532,2021-10-04,6
533,2021-10-05,3
534,2021-10-06,3
535,2021-10-07,4
536,2021-10-08,1
537,2021-10-09,2
538,2021-10-10,1
539,2021-10-11,1
540,2021-10-12,4
541,2021-10-13,6
542,2021-10-14,1
543,2021-10-15,5
544,2021-10-17,2
545,2021-10-18,2
546,2021-10-19,1
547,2021-10-21,1
548,2021-10-22,3
549,2021-10-25,1
550,2021-10-26,3
551,2021-10-28,1
552,2021-10-29,1
553,2021-10-30,1
554,2021-10-31,1
555,2021-11-01,2
556,2021-11-03,1
557,2021-11-07,1
558,2021-11-09,1
559,2021-11-10,2
560,2021-11-11,1
561,2021-11-12,4
562,2021-11-13,1
563,2021-11-14,1
564,2021-11-15,1
565,2021-11-16,1
566,2021-11-17,2
567,2021-11-19,2
568,2021-11-22,2
569,2021-11-23,1
570,2021-11-24,1
571,2021-11-25,1
572,2021-12-01,3
573,2021-12-02,3
574,2021-12-06,1
575,2021-12-08,3
576,2021-12-13,2
577,2021-12-16,1
578,2021-12-17,4
579,2021-12-18,2
580,2021-12-19,1
581,2021-12-20,1
582,2021-12-21,10
583,2021-12-22,5
584,2021-12-23,3
585,2021-12-24,2
586,2021-12-26,7
587,2021-12-27,4
